region,lead_time_days,on_time_delivery_rate,defect_rate,order_fulfillment_rate,financial_stability_score,years_in_business,geopolitical_risk_index,natural_disaster_exposure,trade_restriction_flag,shipping_delay_days_avg,port_congestion_score,num_logistics_partners,past_disruptions_count,last_disruption_days_ago,compliance_score,audit_passed,disruption_occurred
4,23,0.503030143306423,0.0281503050443159,0.8726360542752172,1.1059573510986465,8,9.728845378027346,5.121930403168715,0,7.317034747431212,4.732370311849804,6,1,490,5.188365526020981,0,1
0,33,0.8154875356507901,0.0846260389182258,0.8491617730260612,5.742665896530285,33,7.287976681546883,2.677723214289101,0,1.043906898673398,7.047816820235631,15,3,22,6.962643242950618,1,0
1,35,0.8666101709531346,0.042815548016254,0.8024671586057165,5.613171747481379,11,9.706201380218516,8.746097041214945,0,0.463932885141098,3.7710409282294983,17,0,367,9.014242248960826,0,0
0,19,0.8004579876357035,0.1534748379345231,0.9449959121991354,9.469195634670427,7,5.977033848428668,2.689515658792428,0,0.741343088239083,6.505254150058767,11,0,718,4.43498796030814,0,0
0,25,0.8218587989844901,0.1415368948462796,0.9753664348656976,6.016085523782737,3,7.085332145557855,9.370266416325151,0,5.644218316509424,2.721482372895202,7,4,10,1.3158564518681386,1,0
3,34,0.8262127798504287,0.0552860196997256,0.6491509662025284,8.50238046709384,34,7.578969514484894,5.982931906648768,0,5.426855279422094,4.116839709985433,4,1,247,3.9059849259979194,0,0
1,16,0.8422650055847438,0.0490116431886014,0.8342777244550508,6.897350904235326,13,5.374573049843185,8.573150818933229,0,0.0858296614622378,6.575894753227434,7,0,139,7.716524167280333,0,0
1,32,0.6706537908086778,0.0534558900356075,0.8928351296127824,2.191947627901926,1,7.548863907172438,3.2335391625407817,0,2.893347793281455,2.698402517029439,3,1,113,4.479521717196084,0,0
1,29,0.9024795498725816,0.203387124072205,0.9422756454362582,5.697125306541516,35,7.164541701329052,4.539281645733358,0,1.805327493177164,3.51258388560735,7,3,739,7.115979371978223,0,0
0,15,0.7901420618643811,0.0582188076508996,0.9178431731553104,7.120508543494769,6,3.360026516894826,0.6739074693494695,0,1.188152356013211,2.340526380379322,17,3,216,8.180352595347777,1,0
4,37,0.910092051389643,0.0079800502704947,0.9169221392741932,7.824136525309493,48,7.626028310999552,1.285840421002875,0,3.5003712615677944,9.22000045368456,13,3,408,8.878564535897794,1,0
1,48,0.9114885733323363,0.1280006672940403,0.8784869228373521,7.436683768308267,42,7.340025871168304,0.6411070250644113,0,2.09325273867574,0.746961853269168,7,1,221,4.530145615516387,1,0
0,27,0.8594621981488749,0.0544350628331214,0.9861580632108016,5.364730890799896,45,0.1661727640144183,3.4039656350704703,0,0.6051700060982095,6.702762328324695,1,3,808,6.162420159273972,1,0
3,24,0.8526446759479597,0.1003564261559279,0.987294452423758,1.0570571185078492,43,8.356997008012538,1.7679589198382029,0,0.1779323681257598,1.0984029262133976,4,5,570,8.657912708473498,0,0
4,31,0.9008522784942118,0.0752736795580293,0.8117301869827694,7.995826863996476,17,6.337314015789809,4.768619505826387,0,4.963407068643545,4.48992014918295,2,3,564,2.304637201339771,1,0
3,35,0.7420725858917075,0.0990238294819379,0.8411753764677841,1.6339591133903588,37,2.608015953170526,2.924342478824717,0,7.794239570675148,9.718450765212763,13,2,590,9.184350522909066,0,0
4,18,0.9524731860872212,0.1265571237665224,0.9540191066811896,1.1260249666839257,6,6.344684436095705,5.012639849230654,0,3.1832755466977405,3.0877935912886523,14,0,665,5.688336918999768,1,0
0,36,0.8099494994608962,0.0835476357262922,0.902119963740218,9.463658666011195,36,0.9060324223767912,8.416820334346143,0,0.4846994198222492,4.296646383432002,10,0,565,2.1242455007940158,1,0
2,30,0.9080842340086482,0.0883382822820485,0.944548527909972,4.620060947420477,40,1.2975573437196264,7.813240608484506,0,1.9876497002356808,6.138714768026707,9,0,622,4.873274693195839,1,0
4,13,0.7600950563493596,0.1149133895433308,0.8893057082131657,1.2045837635728756,45,1.165653765039808,5.531078885054442,0,1.9981308104545412,9.02780425644954,5,5,834,3.628336703905156,0,0
3,24,0.882718935909759,0.0917532204234342,0.9795864288945684,8.10674152259536,42,8.60144434225245,2.988092331636365,0,7.238944893992086,3.088177661655683,15,1,669,7.308906298469092,1,0
